id,title,authors,year,venue,doi,url,source,metadata_source,crossref_type,crossref_collection_route,crossref_target_venue,crossref_target_issn,issn,issn_l,publisher,publication_type,venue_trust,venue_trust_reason,corresponding_authors,corresponding_author_available,corresponding_author_source,openalex_checked,openalex_used_for,openalex_crosscheck_work_id,is_core_venue,core_status,venue_scope,core_source,categories,tags,relevance_score,summary_provider,openai_summary_applied,abstract_used_for_summary,raw_abstract_displayed,pdf_stored,first_added,last_updated
10.1073/pnas.2537250123,Rotational 3D printing of active-passive filaments and lattices with programmable shape morphing,"[""Mustafa K. Abdelrahman"", ""Jackson K. Wilt"", ""Yeonsu Jung"", ""Rodrigo Telles"", ""Gurminder K. Paink"", ""Natalie M. Larson"", ""Joanna Aizenberg"", ""L. Mahadevan"", ""Jennifer A. Lewis""]",2026,Proceedings of the National Academy of Sciences,10.1073/pnas.2537250123,https://doi.org/10.1073/pnas.2537250123,"[""Crossref""]",crossref,journal-article,issn_venue_query,Proceedings of the National Academy of Sciences,0027-8424,"[""0027-8424"", ""1091-6490""]",,National Academy of Sciences,journal_article,trusted,PNAS journal article,"[{""name"": ""L. Mahadevan"", ""openalex_author_id"": ""https://openalex.org/A5063432831"", ""orcid"": ""https://orcid.org/0000-0002-5114-0519"", ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Harvard University"", ""ror"": ""https://ror.org/03vek6s52"", ""country_code"": ""US"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Department of Organismic and Evolutionary Biology, Harvard University"", ""Department of Physics, Harvard University"", ""John A. Paulson School of Engineering and Applied Sciences, Harvard University""]}, {""name"": ""Jennifer A. Lewis"", ""openalex_author_id"": ""https://openalex.org/A5021067826"", ""orcid"": ""https://orcid.org/0000-0002-0280-2774"", ""position"": ""last"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Harvard University"", ""ror"": ""https://ror.org/03vek6s52"", ""country_code"": ""US"", ""type"": ""education""}, {""name"": ""Inspire"", ""ror"": ""https://ror.org/02sy45055"", ""country_code"": ""CH"", ""type"": ""company""}], ""raw_affiliation_strings"": [""John A. Paulson School of Engineering and Applied Sciences, Harvard University"", ""Wyss Institute for Biologically Inspired Engineering, Harvard University""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7155194136,True,core,core,manual_core_venue,"[""Multi-material AM"", ""Material Distribution Optimization""]","[""LCE"", ""4D printing"", ""FDM/Material extrusion""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1108/rpj-10-2025-0515,Remelting-induced enhancement of mechanical properties in SS316L/IN625 functionally graded materials produced by selective laser melting,"[""Omid Rohani Raftar"", ""Mohsen Khajehzadeh"", ""Mohammad Reza Razfar""]",2026,Rapid Prototyping Journal,10.1108/rpj-10-2025-0515,https://doi.org/10.1108/rpj-10-2025-0515,"[""Crossref""]",crossref,journal-article,issn_venue_query,Rapid Prototyping Journal,1355-2546,"[""1355-2546"", ""1758-7670""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Mohsen Khajehzadeh"", ""openalex_author_id"": ""https://openalex.org/A5059007962"", ""orcid"": ""https://orcid.org/0000-0002-8358-6427"", ""position"": ""middle"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Amirkabir University of Technology"", ""ror"": ""https://ror.org/04gzbav43"", ""country_code"": ""IR"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Amirkabir University of Technology Department of Mechanical Engineering, , Tehran,""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7164907768,True,core,core,manual_core_venue,"[""Functionally Graded AM"", ""Multi-material AM""]","[""Manufacturing automation""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1016/j.nxmate.2026.102118,Polymer-based functionally graded multi-material additive manufacturing via material extrusion: Interfacial mechanisms and gradient design strategies,"[""G.A. Munshi"", ""Venkatesh M. Kulkarni""]",2026,Next Materials,10.1016/j.nxmate.2026.102118,https://doi.org/10.1016/j.nxmate.2026.102118,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2949-8228""]",,Elsevier BV,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""G A munshi"", ""openalex_author_id"": ""https://openalex.org/A5125104672"", ""orcid"": null, ""position"": ""first"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Visvesvaraya Technological University"", ""ror"": ""https://ror.org/00ha14p11"", ""country_code"": ""IN"", ""type"": ""education""}], ""raw_affiliation_strings"": [""Department of Mechanical Engineering, Visvesvaraya Technological University, Belagavi, Karnataka, India""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7155631908,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Functionally Graded AM""]","[""Functionally Graded Materials"", ""Additive Manufacturing"", ""Material Extrusion"", ""Multi-material Systems""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.1115/1.4069976,OrigaMatic: A Computational Workflow for Multi-Material Design Bridging Thick-Panel Origami and Additive Manufacturing,"[""Ana Kochovski"", ""Giovanni Berselli"", ""Alberto Parmiggiani""]",2026,Journal of Mechanisms and Robotics,10.1115/1.4069976,https://doi.org/10.1115/1.4069976,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""1942-4302"", ""1942-4310""]",,ASME International,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W4414502543,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Computational Design""]","[""origami"", ""additive manufacturing"", ""computational design"", ""mechanisms""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.1108/4dp-12-2025-0023,Multimaterial 4D printing of adaptive and reconfigurable auxetic metastructures,"[""Ava Ghalayaniesfahani"", ""Tim Ribberink"", ""Ian Gibson"", ""Mehrshad Mehrpouya""]",2026,4D Printing,10.1108/4dp-12-2025-0023,https://doi.org/10.1108/4dp-12-2025-0023,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""3049-9569""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7154702244,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Functionally Graded AM""]","[""4D printing"", ""auxetic structures"", ""additive manufacturing""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.1039/d5ma01130b,Microfluidic-mixer assisted 3D printing of functionally graded multimaterial hydrogels for engineering complex tissue interfaces,"[""Maria Celeste Tirelli"", ""Francesco Nalin"", ""Nehar Celikkin"", ""Żaneta Górecka"", ""Pasquale Posabella"", ""Wojciech Święszkowski"", ""Marco Costantini""]",2026,Materials Advances,10.1039/d5ma01130b,https://doi.org/10.1039/d5ma01130b,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""2633-5409""]",,Royal Society of Chemistry (RSC),journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Marco Costantini"", ""openalex_author_id"": ""https://openalex.org/A5123869506"", ""orcid"": null, ""position"": ""last"", ""is_corresponding"": true, ""institutions"": [{""name"": ""Institute of Psychology"", ""ror"": ""https://ror.org/034dn0836"", ""country_code"": ""PL"", ""type"": ""facility""}, {""name"": ""Polish Academy of Sciences"", ""ror"": ""https://ror.org/01dr6c206"", ""country_code"": ""PL"", ""type"": ""government""}], ""raw_affiliation_strings"": [""Institute of Physical Chemistry – Polish Academy of Science, Warsaw, Poland""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7128159583,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Functionally Graded AM""]","[""Additive manufacturing""]",8,fallback,False,True,False,False,2026-06-22,2026-06-28
10.1108/rpj-05-2025-0206,"Functionally graded SS316L/Inconel 625 fabricated by SLM: the effects of remelting and ultrasonic burnishing on pore topology, surface integrity and electrochemical properties","[""Sajjad Rajabi"", ""Alireza Khodabandeh"", ""Masood Amirshami"", ""Ardeshir Hemasian Etefagh"", ""Mohsen Khajehzadeh""]",2026,Rapid Prototyping Journal,10.1108/rpj-05-2025-0206,https://doi.org/10.1108/rpj-05-2025-0206,"[""Crossref""]",crossref,journal-article,issn_venue_query,Rapid Prototyping Journal,1355-2546,"[""1355-2546"", ""1758-7670""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7164175248,True,core,core,manual_core_venue,"[""Functionally Graded AM"", ""Multi-material AM""]","[""Manufacturing automation""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1108/4dp-09-2025-0019,Fabrication of a gradient-in-a-gradient structure in functionally graded polymer composites via additive manufacturing,"[""Günther Schuh"", ""Gerret Lukas"", ""Lea Niwar"", ""Jan Schenk"", ""Lena Stöcker"", ""Thomas Eberius""]",2026,4D Printing,10.1108/4dp-09-2025-0019,https://doi.org/10.1108/4dp-09-2025-0019,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""3049-9569""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7133219494,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Functionally Graded AM""]","[""additive manufacturing"", ""functionally graded materials"", ""polymer composites"", ""Fused Filament Fabrication"", ""gradient structures""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.71058/jodac.v10i06002,FUTURE OF 4D PRINTING IN SOFT ROBOTICS AND INTELLIGENT AUTOMATION,"[""Achin Srivastav"", ""Nidhi Srivastav""]",2026,Journal of Dynamics and Control,10.71058/jodac.v10i06002,https://doi.org/10.71058/jodac.v10i06002,"[""Crossref""]",crossref,journal-article,keyword_query,,,[],,PNAD Digital Publishers,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7164685907,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Reviews and Surveys"", ""Multi-material AM""]","[""LCE"", ""4D printing"", ""Computational design"", ""Machine learning"", ""Soft robotics"", ""Manufacturing automation""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
10.1016/j.ijmecsci.2026.111436,Enhancing performance and reusability of multi-material honeycomb metamaterials via blended FDM,"[""Di Zhang"", ""Heqing Li"", ""Chuwei Chen"", ""Chi Wu"", ""Chengqing Wu"", ""Qing Li"", ""Jianguang Fang""]",2026,International Journal of Mechanical Sciences,10.1016/j.ijmecsci.2026.111436,https://doi.org/10.1016/j.ijmecsci.2026.111436,"[""Crossref""]",crossref,journal-article,keyword_query,,,"[""0020-7403""]",,Elsevier BV,journal_article,trusted,journal article with named venue and no low-trust marker,"[{""name"": ""Jianguang Fang"", ""openalex_author_id"": ""https://openalex.org/A5125136724"", ""orcid"": null, ""position"": ""last"", ""is_corresponding"": true, ""institutions"": [{""name"": ""University of Technology Sydney"", ""ror"": ""https://ror.org/03f0f6041"", ""country_code"": ""AU"", ""type"": ""education""}], ""raw_affiliation_strings"": [""School of Civil and Environmental Engineering, University of Technology Sydney, NSW 2007, Australia""]}]",True,openalex_cross_check,True,corresponding_author_completion,https://openalex.org/W7130982385,False,non-core,non-core,schema_placeholder_crossref_rebuild,"[""Multi-material AM"", ""Blended FDM / Digital Material Filament""]","[""FDM/Material extrusion"", ""honeycomb"", ""metamaterials"", ""energy dissipation""]",8,openai,True,True,False,False,2026-06-12,2026-06-28
10.1108/rpj-04-2025-0137,Development of an integrated pellet and filament co-extruder system for improved additive manufacturing process,"[""Krishnanand"", ""Mohammad Taufik""]",2026,Rapid Prototyping Journal,10.1108/rpj-04-2025-0137,https://doi.org/10.1108/rpj-04-2025-0137,"[""Crossref""]",crossref,journal-article,issn_venue_query,Rapid Prototyping Journal,1355-2546,"[""1355-2546"", ""1758-7670""]",,Emerald,journal_article,trusted,journal article with named venue and no low-trust marker,[],False,,True,,https://openalex.org/W7117365121,True,core,core,manual_core_venue,"[""Multi-material AM"", ""Material Distribution Optimization""]","[""Material behavior"", ""FDM/Material extrusion""]",8,fallback,False,True,False,False,2026-06-24,2026-06-28
