venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,openalex_lookup_status,openalex_match_display_name,openalex_match_id,openalex_match_issn_l,openalex_match_issn,openalex_match_host_organization,openalex_works_count,openalex_lookup_similarity,openalex_lookup_note
Multi-material Additive Manufacturing,14,14,0,14,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Manufacturing Letters,13,13,2,11,Crossref,exact_openalex_source_match,Manufacturing Letters,https://openalex.org/S2764828758,2213-8463,2213-8463,Elsevier BV,1419,1.000,normalized venue title exactly matched an OpenAlex source display_name
Procedia CIRP,13,13,4,9,Crossref,exact_openalex_source_match,Procedia CIRP,https://openalex.org/S2898565713,2212-8271,2212-8271,Elsevier BV,15070,1.000,normalized venue title exactly matched an OpenAlex source display_name
4D Printing of Composites,11,11,0,11,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Materials & Design,11,11,1,10,Crossref,exact_openalex_source_match,Materials & Design,https://openalex.org/S8792693,0264-1275,0264-1275; 1873-4197,Elsevier BV,14311,1.000,normalized venue title exactly matched an OpenAlex source display_name
Generation and Update of a Digital Twin in a Process Plant,10,10,0,10,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Vat Photopolymerization Additive Manufacturing,10,10,9,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
4D Printing in Healthcare,9,9,0,9,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Computational Design and Robotic Fabrication,9,9,9,0,Crossref,exact_openalex_source_match,Computational design and robotic fabrication,https://openalex.org/S4393919381,2731-9040,2731-9040; 2731-9059,,157,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Computer Integrated Manufacturing,9,9,2,7,Crossref,exact_openalex_source_match,International Journal of Computer Integrated Manufacturing,https://openalex.org/S57062392,0951-192X,0951-192X; 1362-3052,Taylor & Francis,2678,1.000,normalized venue title exactly matched an OpenAlex source display_name
Manufacturing Process Optimization for Sustainable Development Using Digital Twin Applications,9,9,9,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Smart Materials in Additive Manufacturing, Volume 3",7,7,1,6,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
