venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,crossref_lookup_status,crossref_match_title,crossref_match_issn,crossref_match_publisher,crossref_total_dois,crossref_lookup_note,example_titles
Zenodo (CERN European Organization for Nuclear Research),76,76,9,67,OpenAlex,no_crossref_journal_match,,,,,,Sharp Dual-Regime Transition Driven by Bead Morphology in Metal Fused Filament Fabrication: Bead-Resolved Digital Twin Analysis | Binary Thermal Regime Transition Driven by Bead Morphology in Metal Fused Filament Fabrication: Bead-Resolved Digital Twin Analysis | Reducing energy consumption and processing time by smart robot-workpiece position planning in robotic manufacturing processes
ArXiv.org,48,48,12,36,OpenAlex,no_crossref_journal_match,,,,,,i-Tac: Inverse Design of 3D-Printed Tactile Elastomers with Scalable and Tunable Optical and Mechanical Properties | Environment-Aware Path Generation for Robotic Additive Manufacturing of Structures | Self-locking non-volatile coding metasurfaces via origami-based mechanical bits
arXiv (Cornell University),46,46,20,26,OpenAlex,no_crossref_journal_match,,,,,,"Towards Active Real-to-Twin Inspection: A New Paradigm for Zero-Shot Anomaly Detection | Too Big, Too Small, Too $O_2$: The Pandoro Effect from Oxygen Gradients in Tomographic Volumetric Additive Manufacturing | Scale-invariant projection optimization in tomographic volumetric additive manufacturing"
Figshare,23,23,2,21,OpenAlex,no_crossref_journal_match,,,,,,Lensless and Lossless HoloVAM | High-Strength andFast-Response Liquid Crystal ElastomerFiber and Fabric Actuators | Smart manufacturing: MLOps-enabled event-driven architecture for enhanced control in steel production
Springer Link (Chiba Institute of Technology),9,9,4,5,OpenAlex,no_crossref_journal_match,,,,,,"Transitioning from Industry 4.0 to Industry 5.0: A Review and Analysis of Future Research Directions | Semi-analytical Timoshenko beam model for symmetrical 1D acoustic black holes: Efficient quantification of the influence of geometric model parameters on vibration behaviour | Light-derived additive manufacturing: advances, challenges and prospects"
ACS Applied Materials & Interfaces,6,6,4,2,OpenAlex,no_crossref_journal_match,,,,,,"Emerging Trends in Additive Manufacturing for Thermoelectric Devices: Materials, Structures, and Engineering Approaches | High-Strength and Fast-Response Liquid Crystal Elastomer Fiber and Fabric Actuators | Hot Fingers: Individually Addressable Graphene-Heater Actuated Liquid Crystal Grippers"
Materials & Design,4,4,3,1,OpenAlex,no_crossref_journal_match,,,,,,Interfacial structure − property relationships in additively manufactured WC-Co/316L multi-material systems | Machine learning-aided lattice optimization for ultra-lightweight 3D-printed aligners | 4D printing of semi-crystalline crosslinked polymer networks with two-way shape-memory effect
VTechWorks (Virginia Tech),4,4,1,3,OpenAlex,no_crossref_journal_match,,,,,,Advancing New Material and Process Capabilities for Multi-Material High Performance Thermoset Additive Manufacturing | Rapid Characterization of Material Heterogeneity through Acoustic Resonance and Physics-informed Artificial Intelligence | ML-accelerated pipeline for understanding atomistic hardening of MPEAs and predicting hardness in additive manufacturing
bioRxiv (Cold Spring Harbor Laboratory),3,3,3,0,OpenAlex,no_crossref_journal_match,,,,,,"Shaping hydrogel bioinks into 3D, multiscale, perfusable models using multimodal printing | Tomographic Printing in a Chip: A Versatile Platform for Biomimetic 3D Organ-on-Chip | Optical Properties of Gelatin Methacrylate and Implications for In Situ Cross-Linking in Spinal Cord Lesions and Engineered Hydrogel Systems"
Espace ÉTS (ETS),3,3,3,0,OpenAlex,no_crossref_journal_match,,,,,,Meltpool temperature measurement and monitoring during wire-DED via optical thermal devices | Digital twin modeling for defect detection in LPBF parts | Resin properties and part size interrelationships in computed tomography-based volumetric additive manufacturing
Microsystems & Nanoengineering,3,3,3,0,OpenAlex,no_crossref_journal_match,,,,,,Proximal sound printing: direct 3D printing of microstructures on polymers | Electrohydrodynamic printed ultra-high performance liquid metal strain sensor | Micro-spring force sensors using conductive photosensitive resin fabricated via two-photon polymerization
Repository KITopen (Karlsruhe Institute of Technology),3,3,1,2,OpenAlex,no_crossref_journal_match,,,,,,Enhancing mechanical performance of elastomeric vat-photopolymerized resins via functionalized cellulose nanocrystals | Wavelength‐Dependent 3D Printing: Introducing 3D Printed Action Plots | Novel Photoinitiators for Two‐Step Absorption‐Based 3D Laser Nanoprinting: From Molecular Design to Printing Behavior
Texas Digital Library (University of Texas),3,3,2,1,OpenAlex,no_crossref_journal_match,,,,,,Replication Data for: Hybrid epoxy–acrylate resins for wavelength-selective multimaterial 3D printing | Engineering soft materials across length scales for programmable performance | Oxygen Saturation as a Strategy to Mitigate User-Induced Variation in Tomographic Volumetric Additive Manufacturing
TU/e Research Portal,3,3,1,2,OpenAlex,no_crossref_journal_match,,,,,,NURBS-Based Ray Tracer Modeling of Tomographic Volumetric Additive Manufacturing | Edge-Cloud-Assisted Real-Time Cyber-Physical Systems | Data-Driven Optimization for City Logistics
ACS Sustainable Chemistry & Engineering,2,2,2,0,OpenAlex,no_crossref_journal_match,,,,,,Thiol–Yne Photocurable Isosorbide-Derived Networks: Formulation and 3D Printing | Sustainable 3D Printing of Transparent SiO<sub>2</sub> Glass Components by a Photocurable Aqueous Suspension Design
Advances in geospatial technologies book series,2,2,0,2,OpenAlex,no_crossref_journal_match,,,,,,Energy Mapping and Resource Efficiency Using Geospatial Tools | An Adaptive Geo-Intelligent System Integrating AI and IoT for Sustainable Smart Manufacturing
DergiPark (Istanbul University),2,2,2,0,OpenAlex,no_crossref_journal_match,,,,,,An Investigation -into the Use of Digital Technologies to Promote Circularity in the Construction Industry | Üç Boyutlu Yazıcı Teknolojileri ve Diş Hekimliğinde Uygulama Alanları: Güncel Yaklaşımlar ve Gelecek Perspektifleri
Digital Access to Scholarship at Harvard (DASH) (Harvard University),2,2,1,1,OpenAlex,no_crossref_journal_match,,,,,,"Programmable Assembly of Genetically Engineered Human Tissues | Architected Liquid Crystal Elastomers with Spatially Programmed Alignment, Shape Morphing, and Mechanics"
DOAJ (DOAJ: Directory of Open Access Journals),2,2,1,1,OpenAlex,no_crossref_journal_match,,,,,,Recent Advances and Development Trends of Global Top Drive Drilling Systems | Construction of an industrial digital twin platform for multi-robot arm collaborative control
Linköping studies in science and technology. Dissertations,2,2,1,1,OpenAlex,no_crossref_journal_match,,,,,,Adaptive Automation Strategies for Increasing Variability in Design and Production | Digital Twins and Explainable AI for Decision Support in Port and Maritime Operations
LUTPub (LUT University),2,2,1,1,OpenAlex,no_crossref_journal_match,,,,,,Experimental and numerical study of the Poynting effect in additively manufactured TPU components for soft robotic applications | Performance management with novel technologies : integrating sustainability performance in digital transformation
TSpace,2,2,1,1,OpenAlex,no_crossref_journal_match,,,,,,Mechanics and Modeling of 3D Printed Metamaterials for Energy Absorption | Using Multi-Material Additive Manufacturing and Targeting Active Applications in the Design and Development of Hydrophobic Surfaces
Veredas do Direito Direito Ambiental e Desenvolvimento Sustentável,2,2,0,2,OpenAlex,no_crossref_journal_match,,,,,,ENHANCING OPERATIONAL EFFICIENCY IN NATURAL GAS DISTRIBUTION THROUGH - AUTOMATION AND SMART CONTROL SYSTEMS | DIGITAL SUPPLY CHAIN TRANSFORMATION IN SAUDI INDUSTRIAL MANUFACTURING UNDER VISION 2030
American University of Bahrain,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Smart manufacturing: MLOps-enabled event-driven architecture for enhanced control in steel production
AMS Degree Thesis (University of Bologna),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Il ruolo del Digital Twin nell'Additive Manufacturing: opportunità e prospettive per l'ingegneria industriale
Applied Cybersecurity & Internet Governance,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,A Cybersecurity Digital Twin Architecture for Modelling Threats in Interconnected Systems
Biomedical Journal of Scientific & Technical Research,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,"""Guidelines for Biomimetic 3D/4D Printing in Soft Tissues Biomaterials"""
CINECA IRIS Institutial Research Information System (University of Genoa),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,"DIVENIRE Metodo, processo e progetto di un sistema di facciata dinamico realizzato tramite stampa 3D e 4D - Method, process and design of a dynamic facade system created using 3D and 4D printing"
Communications in computer and information science,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,FPGA-Driven Nonlinear Analogue Networks for Deterministic Machine Learning
Complex & Intelligent Systems,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,"Multi-domain fusion meta-model for digital twin in precision manufacturing: design, implementation and verification"
Computers & Security,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Organisational cybersecurity challenges in digital twin development: A critical analysis and research directions
Computers & Structures,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,ShapeGen3DCP: A deep learning framework for layer shape prediction in 3D concrete printing
"Defect and diffusion forum/Diffusion and defect data, solid state data. Part A, Defect and diffusion forum",1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,3D-Printed Pyrography Using PLA/Wood Filaments
Electronic Theses and Dissertations Repository (University of Pisa),1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,OTTIMIZZAZIONE DEL PROCESSO DI FABBRICAZIONE MEDIANTE STAMPA 3D DI SONDE PLASMONICHE CON APPLICAZIONI MEDICHE IOT
elib (German Aerospace Center),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,Metric Driven Framework for Evaluaiton of Logistics in PHM
Engineering Journal (Chulalongkorn University),1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,3D Printed Soft Actuator Evaluation: A Simulation and Experiment Approach
Engineering Science & Technology Journal,1,1,0,1,OpenAlex,no_crossref_journal_match,,,,,,"AI-Integrated predictive control and digital twin systems for high-yield, low-energy specialty chemicals batch manufacturing"
Environment Systems & Decisions,1,1,1,0,OpenAlex,no_crossref_journal_match,,,,,,Evaluating digital twin adoption for sustainable supply chains in pharma: a fuzzy MEREC–TOPSIS approach
