record_index,layer,classification,sources,title,year,venue,doi,url,archive_reason,relevance_score
1,curated,openalex_only,OpenAlex,Rotational 3D printing of active–passive filaments and lattices with programmable shape morphing,2026,Proceedings of the National Academy of Sciences,10.1073/pnas.2537250123,https://doi.org/10.1073/pnas.2537250123,,8
2,curated,crossref_only,Crossref,Recent Advances in Additively Manufactured Polymeric Structures for Mechanical Energy Absorption,2026,Polymers,10.3390/polym18091019,https://doi.org/10.3390/polym18091019,,8
3,curated,openalex_only,OpenAlex,"Polymer Composites in Additive Manufacturing: Current Technologies, Applications, and Emerging Trends",2026,Polymers,10.3390/polym18020192,https://doi.org/10.3390/polym18020192,,8
4,curated,openalex_only,OpenAlex,Multi-material direct ink writing and co-sintering of gadolinium oxide – zirconium oxide components,2026,npj Advanced Manufacturing,10.1038/s44334-026-00073-0,https://doi.org/10.1038/s44334-026-00073-0,,8
5,curated,crossref_only,Crossref,Microfluidic-mixer assisted 3D printing of functionally graded multimaterial hydrogels for engineering complex tissue interfaces,2026,Materials Advances,10.1039/d5ma01130b,https://doi.org/10.1039/d5ma01130b,,8
6,curated,openalex_only,OpenAlex,Material articulation: Toward an ornamental thinking in digital tectonics,2026,Proceedings of DRS,10.21606/drs.2026.2363,https://doi.org/10.21606/drs.2026.2363,,8
7,curated,openalex_only,OpenAlex,"Hybrid Manufacturing: Process Taxonomy, Planning Bottlenecks, and Application Frontiers",2026,Machines,10.3390/machines14060635,https://doi.org/10.3390/machines14060635,,8
8,curated,openalex_only,OpenAlex,"Functionally graded SS316L/Inconel 625 fabricated by SLM: the effects of remelting and ultrasonic burnishing on pore topology, surface integrity and electrochemical properties",2026,Rapid Prototyping Journal,10.1108/rpj-05-2025-0206,https://doi.org/10.1108/rpj-05-2025-0206,,8
9,curated,both_openalex_crossref,Crossref; OpenAlex,FUTURE OF 4D PRINTING IN SOFT ROBOTICS AND INTELLIGENT AUTOMATION,2026,Journal of Dynamics and Control,10.71058/jodac.v10i06002,https://doi.org/10.71058/jodac.v10i06002,,8
10,curated,openalex_only,OpenAlex,"Emerging Trends in Additive Manufacturing for Thermoelectric Devices: Materials, Structures, and Engineering Approaches",2026,ACS Applied Materials & Interfaces,10.1021/acsami.6c04499,https://doi.org/10.1021/acsami.6c04499,,8
11,curated,openalex_only,OpenAlex,Directed energy deposition additive manufacturing: Microstructure and composition engineering for high-performing metallic materials,2026,Additive manufacturing,10.1016/j.addma.2026.105240,https://doi.org/10.1016/j.addma.2026.105240,,8
12,curated,crossref_only,Crossref,Data-Driven Design Space Analysis for Multimaterial Thermoplastic Composites Manufactured by Fused Filament Fabrication,2026,3D Printing and Additive Manufacturing,10.1089/3dp.2024.0033,https://doi.org/10.1089/3dp.2024.0033,,8
