normalized_title_key,title,sources,record_count,venues,dois
digital twin driven predictive maintenance for smart manufacturing systems,Digital Twin-Driven Predictive Maintenance for Smart Manufacturing Systems,Crossref; OpenAlex,3,Zenodo (CERN European Organization for Nuclear Research)(2); International Journal of Technical Research Studies (IJTRS)(1),10.63090/ijtrs/3139.1788.0012(1); 10.5281/zenodo.20603422(1); 10.5281/zenodo.20603423(1)
sharp dual regime thermal transition driven by bead morphology in metal fused filament fabrication bead resolved digital twin analysis,Sharp dual-regime thermal transition driven by bead morphology in metal fused filament fabrication: bead-resolved digital twin analysis,Crossref; OpenAlex,3,Figshare(2); Virtual and Physical Prototyping(1),10.1080/17452759.2026.2675817(1); 10.6084/m9.figshare.32560697.v1(1); 10.6084/m9.figshare.32560697(1)
4d printed nitinol metamaterials from algorithmic design of textile based soft stiff architectures towards next generation medical implants,4D printed Nitinol metamaterials: from algorithmic design of textile-based soft-stiff architectures towards next generation medical implants,Crossref; OpenAlex,2,UPM Digital Archive (Technical University of Madrid)(1); Venue unknown(1),10.20868/upm.thesis.96235(1)
a digital twin approach for agile additive manufacturing of automotive components,A Digital Twin Approach for Agile Additive Manufacturing of Automotive Components,Crossref; OpenAlex,2,"Computers, Materials &amp; Continua(1); Research Square(1)",10.32604/cmc.2026.075197(1); 10.21203/rs.3.rs-3865454/v2(1)
a modular and affordable self driving laboratory enables vision guided optimization of metal electrodeposition,A modular and affordable self-driving laboratory enables vision-guided optimization of metal electrodeposition,Crossref; OpenAlex,2,ChemRxiv(2),10.26434/chemrxiv.15001858/v2(1); 10.26434/chemrxiv.15001858/v1(1)
a molecular rheology dynamics study on 3d printing of liquid crystal elastomers,A Molecular Rheology Dynamics Study on 3D Printing of Liquid Crystal Elastomers,Crossref; OpenAlex,2,Macromolecular Rapid Communications(2),10.1002/marc.202470023(1); 10.1002/marc.202300717(1)
alignment and actuation of liquid crystals via 3d confinement and two photon laser printing,Alignment and actuation of liquid crystals via 3D confinement and two-photon laser printing,Crossref; OpenAlex,2,Science Advances(1); ChemRxiv(1),10.1126/sciadv.adq2597(1); 10.26434/chemrxiv-2024-dp30s(1)
an open source and low cost dual extruder 3d printer for macroscale biotic materials,An open-source and low-cost dual-extruder 3D printer for macroscale biotic materials,Crossref; OpenAlex,2,Progress in Additive Manufacturing(1); Venue unknown(1),10.1007/s40964-025-01383-z(1); 10.31224/5471(1)
beyond lattices a geometry first computational design framework for additive manufacturing of porous architectures,Beyond lattices: A geometry-first computational design framework for additive manufacturing of porous architectures,Crossref; OpenAlex,2,Additive Manufacturing Letters(1); Venue unknown(1),10.1016/j.addlet.2026.100396(1); 10.2139/ssrn.6320058(1)
design and application of stimuli responsive hydrogels for 4d printing a review of adaptive materials in engineering,Design and Application of Stimuli-Responsive Hydrogels for 4D Printing: A Review of Adaptive Materials in Engineering,Crossref; OpenAlex,2,Gels(1); Preprints.org(1),10.3390/gels12020138(1); 10.20944/preprints202512.1643.v1(1)
