classification,source_union,dedupe_key,record_count,curated_records,archive_records,title,year,venue,doi,url,archive_reasons
both_openalex_crossref,Crossref; OpenAlex,doi:10.18260/1-2-1153-33915,1,0,1,Integrating 4D Printing Processes into STEM Education,2024,2019 ASEE Midwest Section Conference Proceedings,10.18260/1-2-1153-33915,https://doi.org/10.18260/1-2-1153-33915,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/icc-robins60238.2024.10534011,1,1,0,Design and Development of Fin-Ray Finger using Topology Optimization with Multiple Load Cases,2024,2024 International Conference on Cognitive Robotics and Intelligent Systems (ICC - ROBINS),10.1109/icc-robins60238.2024.10534011,https://doi.org/10.1109/icc-robins60238.2024.10534011,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/mecatronics-rem67547.2025.11349643,1,1,0,Physics-Informed Neural Networks for Fast Thermal Simulation in Laser Wire Additive Manufacturing,2025,2025 15th France-Japan &amp;amp; 13th Europe-Asia Congress on Mechatronics (MECATRONICS) / 23rd International Conference on Research and Education in Mechatronics (REM),10.1109/mecatronics-rem67547.2025.11349643,https://doi.org/10.1109/mecatronics-rem67547.2025.11349643,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/cleo/europe-eqec65582.2025.11109744,1,1,0,Volumetric Additive Manufacturing of Hollow-Core Photonic Crystal Fiber Structures for THz Frequencies,2025,2025 Conference on Lasers and Electro-Optics Europe &amp;amp; European Quantum Electronics Conference (CLEO/Europe-EQEC),10.1109/cleo/europe-eqec65582.2025.11109744,https://doi.org/10.1109/cleo/europe-eqec65582.2025.11109744,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/robosoft63089.2025.11020966,1,1,0,Functionally Multistage Engageable Structures for Fin Ray Soft Robotics Fingers <sup>*</sup>,2025,2025 IEEE 8th International Conference on Soft Robotics (RoboSoft),10.1109/robosoft63089.2025.11020966,https://doi.org/10.1109/robosoft63089.2025.11020966,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/cbs65871.2025.11267540,1,1,0,Design of a Soft Robotic Finger Inspired by the Fin Ray Effect with Anthropomorphic Features,2025,2025 IEEE International Conference on Cyborg and Bionic Systems (CBS),10.1109/cbs65871.2025.11267540,https://doi.org/10.1109/cbs65871.2025.11267540,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/ieem63636.2025.11357745,1,0,1,A Digital Twin Approach to Adaptive Control Melt-Penetration for Large-Scale Structural Components Through Two-stage Metal Additive Manufacturing,2025,2025 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),10.1109/ieem63636.2025.11357745,https://doi.org/10.1109/ieem63636.2025.11357745,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.70477/holx1245,1,1,0,DYNAMIC INTERFACE PRINTING: A HIGH-THROUGHPUT APPROACH FOR BIOCOMPATIBLE STRUCTURE FABRICATION USING AN ACOUSTICALLY MODULATED AIR-LIQUID BOUNDARY,2025,2025 MicroTAS Book of Abstracts,10.70477/holx1245,https://doi.org/10.70477/holx1245,
both_openalex_crossref,Crossref; OpenAlex,doi:10.1109/iraset68627.2026.11538866,1,0,1,Smart Materials for Smart Robots: Multi-Scale Conductivity Modeling in 3D-Printed Polymer Composites,2026,"2026 6th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",10.1109/iraset68627.2026.11538866,https://doi.org/10.1109/iraset68627.2026.11538866,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.18690/um.fov.4.2026.5,1,0,1,Designing a Layered Learning Infrastructure with a Digital Twin Component,2026,39th Bled eConference: Co-Creating Human-Centred and Responsible Digital Futures; Conference Proceedings,10.18690/um.fov.4.2026.5,https://doi.org/10.18690/um.fov.4.2026.5,low_relevance:1
both_openalex_crossref,Crossref; OpenAlex,doi:10.1002/9781119894407.ch14,1,1,0,Advanced Bioprinting for the Future,2024,3D Bioprinting from Lab to Industry,10.1002/9781119894407.ch14,https://doi.org/10.1002/9781119894407.ch14,
