classification,venue,source_union,record_count,unique_paper_keys,curated_records,archive_records
both_openalex_crossref,Venue unknown,Crossref; OpenAlex,227,227,50,177
both_openalex_crossref,Nature Communications,Crossref; OpenAlex,67,67,56,11
both_openalex_crossref,Additive manufacturing,Crossref; OpenAlex,62,62,54,8
both_openalex_crossref,Additive Manufacturing,Crossref; OpenAlex,56,56,39,17
both_openalex_crossref,Polymers,Crossref; OpenAlex,42,42,26,16
both_openalex_crossref,Progress in Additive Manufacturing,Crossref; OpenAlex,40,40,14,26
both_openalex_crossref,Virtual and Physical Prototyping,Crossref; OpenAlex,40,40,29,11
both_openalex_crossref,The International Journal of Advanced Manufacturing Technology,Crossref; OpenAlex,37,37,16,21
both_openalex_crossref,Advanced Materials,Crossref; OpenAlex,35,35,24,11
both_openalex_crossref,3D Printing and Additive Manufacturing,Crossref; OpenAlex,34,34,21,13
both_openalex_crossref,Advanced Materials Technologies,Crossref; OpenAlex,33,33,25,8
both_openalex_crossref,Digital Twin,Crossref; OpenAlex,30,30,5,25
both_openalex_crossref,Materials,Crossref; OpenAlex,27,27,15,12
both_openalex_crossref,Scientific Reports,Crossref; OpenAlex,27,27,14,13
both_openalex_crossref,Journal of Manufacturing Systems,Crossref; OpenAlex,26,26,11,15
both_openalex_crossref,Research Square,Crossref; OpenAlex,25,25,12,13
both_openalex_crossref,Advanced Science,Crossref; OpenAlex,22,22,19,3
both_openalex_crossref,Advanced Functional Materials,Crossref; OpenAlex,21,21,13,8
both_openalex_crossref,Applied Sciences,Crossref; OpenAlex,21,21,12,9
both_openalex_crossref,Journal of Manufacturing and Materials Processing,Crossref; OpenAlex,20,20,8,12
both_openalex_crossref,Robotics and Computer-Integrated Manufacturing,Crossref; OpenAlex,19,19,5,14
both_openalex_crossref,Journal of Intelligent Manufacturing,Crossref; OpenAlex,18,18,8,10
both_openalex_crossref,ChemRxiv,Crossref; OpenAlex,17,17,7,10
both_openalex_crossref,Preprints.org,Crossref; OpenAlex,15,15,3,12
both_openalex_crossref,Science Advances,Crossref; OpenAlex,15,15,13,2
both_openalex_crossref,4D Printing,Crossref; OpenAlex,14,14,2,12
both_openalex_crossref,Journal of Manufacturing Processes,Crossref; OpenAlex,13,13,2,11
both_openalex_crossref,Machines,Crossref; OpenAlex,13,13,6,7
both_openalex_crossref,Advanced Engineering Materials,Crossref; OpenAlex,12,12,9,3
both_openalex_crossref,Advanced Intelligent Systems,Crossref; OpenAlex,12,12,8,4
both_openalex_crossref,Rapid Prototyping Journal,Crossref; OpenAlex,12,12,8,4
both_openalex_crossref,International Journal of Extreme Manufacturing,Crossref; OpenAlex,11,11,10,1
both_openalex_crossref,Volume 1: Additive Manufacturing; Advanced Materials Manufacturing; Biomanufacturing; Life Cycle Engineering,Crossref; OpenAlex,11,11,4,7
both_openalex_crossref,Additive Manufacturing Letters,Crossref; OpenAlex,10,10,6,4
both_openalex_crossref,Frontiers in Bioengineering and Biotechnology,Crossref; OpenAlex,10,10,5,5
both_openalex_crossref,Frontiers in Mechanical Engineering,Crossref; OpenAlex,10,10,5,5
both_openalex_crossref,Gels,Crossref; OpenAlex,10,10,3,7
both_openalex_crossref,Materials Today Communications,Crossref; OpenAlex,10,10,4,6
both_openalex_crossref,Processes,Crossref; OpenAlex,10,10,3,7
both_openalex_crossref,ACS Omega,Crossref; OpenAlex,9,9,5,4
both_openalex_crossref,Micromachines,Crossref; OpenAlex,9,9,8,1
both_openalex_crossref,Smart Materials and Structures,Crossref; OpenAlex,9,9,5,4
both_openalex_crossref,Volume 1: Additive Manufacturing &amp; 3D Printing,Crossref; OpenAlex,9,9,2,7
both_openalex_crossref,3D Printed Optics and Additive Photonic Manufacturing V,Crossref; OpenAlex,8,8,8,0
both_openalex_crossref,Chemical Engineering Journal,Crossref; OpenAlex,8,8,1,7
both_openalex_crossref,Nature Materials,Crossref; OpenAlex,8,8,8,0
both_openalex_crossref,npj Advanced Manufacturing,Crossref; OpenAlex,8,8,4,4
both_openalex_crossref,4D Printing Technology,Crossref; OpenAlex,7,7,0,7
both_openalex_crossref,Additive Manufacturing Frontiers,Crossref; OpenAlex,7,7,4,3
both_openalex_crossref,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVII,Crossref; OpenAlex,7,7,7,0
both_openalex_crossref,Advanced Fabrication Technologies for Micro/Nano Optics and Photonics XVIII,Crossref; OpenAlex,7,7,7,0
both_openalex_crossref,Digital Discovery,Crossref; OpenAlex,7,7,4,3
both_openalex_crossref,IntechOpen eBooks,Crossref; OpenAlex,7,7,2,5
both_openalex_crossref,Journal of Materials Research and Technology,Crossref; OpenAlex,7,7,1,6
both_openalex_crossref,Small,Crossref; OpenAlex,7,7,6,1
both_openalex_crossref,SSRN Electronic Journal,Crossref; OpenAlex,7,7,2,5
both_openalex_crossref,ACS Central Science,Crossref; OpenAlex,6,6,5,1
both_openalex_crossref,European Polymer Journal,Crossref; OpenAlex,6,6,3,3
both_openalex_crossref,Journal of Composites Science,Crossref; OpenAlex,6,6,4,2
both_openalex_crossref,Materials Science in Additive Manufacturing,Crossref; OpenAlex,6,6,0,6
both_openalex_crossref,Results in Engineering,Crossref; OpenAlex,6,6,2,4
both_openalex_crossref,"ROB|ARCH2024 – Robotic Fabrication in Architecture, Art and Design",Crossref; OpenAlex,6,6,5,1
both_openalex_crossref,Actuators,Crossref; OpenAlex,5,5,4,1
both_openalex_crossref,Advanced Intelligent Discovery,Crossref; OpenAlex,5,5,3,2
both_openalex_crossref,Applied and Computational Engineering,Crossref; OpenAlex,5,5,2,3
both_openalex_crossref,Buildings,Crossref; OpenAlex,5,5,0,5
both_openalex_crossref,Electronics,Crossref; OpenAlex,5,5,3,2
both_openalex_crossref,Engineering Research Express,Crossref; OpenAlex,5,5,2,3
both_openalex_crossref,International Journal For Multidisciplinary Research,Crossref; OpenAlex,5,5,2,3
both_openalex_crossref,Macromolecular Materials and Engineering,Crossref; OpenAlex,5,5,5,0
both_openalex_crossref,Materials Advances,Crossref; OpenAlex,5,5,5,0
both_openalex_crossref,Metals,Crossref; OpenAlex,5,5,2,3
both_openalex_crossref,Open Ceramics,Crossref; OpenAlex,5,5,3,2
both_openalex_crossref,Soft Robotics,Crossref; OpenAlex,5,5,5,0
both_openalex_crossref,2025 IEEE 8th International Conference on Soft Robotics (RoboSoft),Crossref; OpenAlex,4,4,4,0
both_openalex_crossref,Applied Materials Today,Crossref; OpenAlex,4,4,2,2
both_openalex_crossref,Beton- und Stahlbetonbau,Crossref; OpenAlex,4,4,2,2
both_openalex_crossref,Cell Reports Physical Science,Crossref; OpenAlex,4,4,4,0
both_openalex_crossref,Chem & Bio Engineering,Crossref; OpenAlex,4,4,3,1
both_openalex_crossref,Discover Mechanical Engineering,Crossref; OpenAlex,4,4,3,1
